state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
42,Pennsylvania,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
51,Virginia,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
36,New York,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
47,Tennessee,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
01,Alabama,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
41,Oregon,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
24,Maryland,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
46,South Dakota,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
22,Louisiana,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
13,Georgia,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
50,Vermont,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
10,Delaware,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
21,Kentucky,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
54,West Virginia,2020-08-24,2020-02-18,,,,,,,,,0.0,0.0,0.0,0.0,,,,
17,Illinois,2020-08-24,2020-02-18,,,,,,,,,0.0,2.0,0.0,0.0,,,,
06,California,2020-08-24,2020-02-18,,,,,,,,,0.0,8.0,0.0,0.0,,,,
53,Washington,2020-08-24,2020-02-18,,,,,,,,,0.0,1.0,0.0,0.0,,,,
04,Arizona,2020-08-24,2020-02-18,,,,,,,,,0.0,1.0,0.0,0.0,,,,
25,Massachusetts,2020-08-24,2020-02-18,,,,,,,,,0.0,1.0,0.0,0.0,,,,
50,Vermont,2020-08-24,2020-05-27,,,,,,,,,4.0,971.0,0.0,54.0,21.0,,,849.0
15,Hawaii,2020-08-24,2020-05-27,,,,,,,,,1.0,634.0,0.0,17.0,,,,593.0
30,Montana,2020-08-24,2020-05-27,,,,,,,,,2.0,481.0,0.0,17.0,2.0,,,444.0
02,Alaska,2020-08-24,2020-05-27,,,,,,,,,1.0,411.0,0.0,10.0,14.0,,,364.0
38,North Dakota,2020-08-24,2020-05-27,,,,,,,,,17.0,2439.0,2.0,56.0,40.0,,,1762.0
16,Idaho,2020-08-24,2020-05-27,,,,,,,,,73.0,2699.0,2.0,81.0,24.0,,,2100.0
49,Utah,2020-08-24,2020-05-27,,,,,,,,,72.0,7911.0,2.0,93.0,127.0,,,5499.0
20,Kansas,2020-08-24,2020-05-27,,,,,,,,,92.0,9291.0,3.0,213.0,,,,534.0
